Date,21 taka,24 taka,47 taka,49 taka,64 taka,166 taka,199 taka,69 taka,114 taka,148 taka,149 taka,299 taka
25-Jul,36.812,28.675,16.963,36.628,12.682,1.307,2.497,4.583,1.152,1.137,0.647,0.405
26-Jul,37.327,27.916,16.54,36.59,12.264,1.011,2.325,4.71,1.485,1.178,0.651,0.497
27-Jul,37.27,27.967,17.075,36.481,12.549,1.091,2.41,4.676,1.368,1.231,0.627,0.458
28-Jul,37.555,28.172,17.446,37.685,12.663,1.047,2.461,4.76,1.289,1.622,0.641,0.456
29-Jul,38.671,28.999,17.71,39.566,12.778,1.078,2.815,5.063,1.488,1.526,0.678,0.496
30-Jul,39.969,30.224,19.207,41.493,13.063,1.093,2.496,5.645,1.6,1.881,0.72,0.461
31-Jul,43.596,33.916,22.139,49.737,14.15,1.113,2.633,8.086,1.992,1.995,0.88,0.581
1-Aug,46.757,43.076,22.781,52.313,15.532,0.922,2.399,8.489,2.905,1.807,0.654,0.509
2-Aug,42.069,36.04,19.065,45.302,14.327,0.996,2.249,7.812,2.196,1.573,0.593,0.497
3-Aug,40.093,34.49,18.924,42.796,13.753,0.897,2.185,7.9,1.881,1.452,0.576,0.417
4-Aug,39.291,32.591,18.951,41.748,13.634,1.077,2.381,7.261,1.673,1.465,0.57,0.468
5-Aug,39.976,31.358,19.364,41.373,13.46,1.029,2.494,6.598,1.603,1.445,0.525,0.407
6-Aug,40.64,30.526,19.274,39.761,13.483,1.088,2.448,7.042,1.572,1.46,0.576,0.368
7-Aug,41.761,32.078,17.895,42.545,13.678,0.879,2.539,7.244,1.628,1.632,0.568,0.431
8-Aug,41.084,30.638,19.081,42.214,13.792,0.96,2.884,6.592,1.522,1.608,0.586,0.412
9-Aug,40.564,29.351,18.717,40.444,13.342,1.011,2.756,7.007,1.506,1.624,0.545,0.381
10-Aug,39.897,28.726,18.004,39.105,13.074,1.069,2.687,6.232,1.316,1.365,0.494,0.317
11-Aug,40.578,28.398,17.438,38.021,13.192,0.976,2.604,6.052,1.398,1.441,0.514,0.403
12-Aug,40.5,28.137,18.621,38.628,13.022,1.109,2.707,6.305,1.355,1.488,0.529,0.379
13-Aug,39.808,27.098,18.199,37.157,12.617,1.077,2.731,6.47,1.279,1.338,0.485,0.344
14-Aug,41.657,29.651,18.112,37.878,12.975,0.933,2.713,7.062,1.585,1.588,0.563,0.399
15-Aug,40.45,28.692,17.821,37.66,12.913,0.902,2.724,7.039,1.478,1.575,0.52,0.364
16-Aug,39.965,27.554,18.719,38.951,12.887,1.027,2.887,6.966,1.415,1.481,0.408,0.377
17-Aug,39.489,27.532,18.263,37.091,12.988,1.041,3.043,7.397,1.467,1.621,0.393,0.414
18-Aug,39.218,27.25,17.984,37.493,12.894,1.017,3.335,6.976,1.612,1.793,0.372,0.397
19-Aug,39.816,26.249,17.432,36.376,12.575,0.968,3.099,6.642,1.475,1.477,0.409,0.372
20-Aug,39.604,26.779,18.064,36.283,12.399,0.946,3.548,6.904,1.468,1.593,0.379,0.381
21-Aug,39.251,28.315,18.004,35.6,12.385,0.821,3.05,6.95,1.683,1.509,0.397,0.446
22-Aug,38.952,27.115,18.274,36.517,12.655,0.887,3.786,6.954,1.591,1.464,0.424,0.43
23-Aug,38.555,26.174,17.676,36.047,12.154,1.03,3.176,6.769,1.485,1.374,0.361,0.4