Country_Birth,Age_Group,Gender,Service_Usage,Usage_Frequency,EE_1,EE_2,EE_3,EE_4,SI_1,SI_2,SI_3,SI_4,HM_1,HM_2,HM_3,PV_1,PV_2,PV_3,PR_1,PR_2,PR_3,PR_4,BI1_1,BI1_2,BI1_3,BI2_1,BI2_2,BI2_3,BI2_4,Age_Generations,AgeGen_Dummy_1,AgeGen_Dummy_2,AgeGen_Dummy_3,AgeGen_Dummy_4,ServiceUsage_Dummy_1,ServiceUsage_Dummy_2,ServiceUsage_Dummy_3,ServiceUsage_Dummy_4,ServiceUsage_Dummy_5,Usage_Category,Gender_Dummy_1,Gender_Dummy_2,REE_3,normalized
Norway,4,2,3,5,6,7,5,2,4,6,4,6,1,2,6,6,3,4,7,7,5,2,7,5,3,7,7,7,4,4,0,0,0,1,0,0,1,0,0,3,0,1,.0948717948717949,5.10685155998697
Myanmar,3,2,5,3,6,6,7,7,6,7,5,4,3,4,4,6,6,6,6,6,6,7,6,7,6,6,6,6,7,3,0,0,1,0,0,0,0,0,1,2,0,1,.720512820512821,6.90397859816284
Ethiopia,2,2,5,4,7,7,6,7,5,6,5,5,4,4,5,7,7,7,6,6,6,6,5,6,6,6,6,6,6,2,0,1,0,0,0,0,0,0,1,2,0,1,.294871794871795,5.83883115791981
USA,3,1,5,5,6,6,6,7,5,6,7,5,4,4,5,7,7,7,7,5,5,6,6,6,7,6,6,6,6,3,0,0,1,0,0,0,0,0,1,3,1,0,.294871794871795,5.83883115791981
Norway,3,1,5,5,6,7,7,7,6,7,6,5,5,5,5,7,7,7,6,6,6,6,6,7,7,6,7,6,6,3,0,0,1,0,0,0,0,0,1,3,1,0,.720512820512821,6.90397859816284
Kosovo,1,1,2,4,6,6,6,7,6,7,6,5,5,6,6,7,7,7,7,6,6,6,6,6,6,6,4,7,7,1,1,0,0,0,0,1,0,0,0,2,1,0,.294871794871795,5.83883115791981
Norway,3,1,5,1,5,5,5,5,3,4,5,5,4,4,5,6,6,6,6,6,6,6,7,7,7,6,6,6,7,3,0,0,1,0,0,0,0,0,1,1,1,0,.0948717948717949,5.10685155998697
Norway,2,2,5,2,5,6,5,5,5,6,5,5,7,4,6,6,6,5,6,6,6,6,6,6,6,6,6,6,7,2,0,1,0,0,0,0,0,0,1,1,0,1,.0948717948717949,5.10685155998697
Norway,4,1,2,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,4,4,5,6,6,7,7,7,7,4,0,0,0,1,0,1,0,0,0,3,1,0,.720512820512821,6.90397859816284
Norway,3,2,4,3,4,4,5,5,2,3,3,3,4,5,5,6,4,4,4,4,4,2,4,3,3,5,3,6,2,3,0,0,1,0,0,0,0,1,0,2,0,1,.0948717948717949,5.10685155998697
Sweden,3,2,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,4,4,5,6,6,7,7,7,7,3,0,0,1,0,0,0,0,0,1,3,0,1,.720512820512821,6.90397859816284
Norway,2,2,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,5,5,4,6,6,6,7,7,7,7,2,0,1,0,0,0,0,0,0,1,3,0,1,.720512820512821,6.90397859816284
Norway,1,2,5,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,5,4,6,6,6,6,7,7,7,7,1,1,0,0,0,0,0,0,0,1,2,0,1,.720512820512821,6.90397859816284
Norway,3,1,3,4,7,6,6,7,4,6,5,4,4,4,4,7,6,6,6,5,6,6,7,6,6,7,6,6,6,3,0,0,1,0,0,0,1,0,0,2,1,0,.294871794871795,5.83883115791981
Norway,2,2,4,5,7,7,6,7,6,6,5,5,5,5,5,7,6,7,5,5,5,7,6,6,6,6,6,6,6,2,0,1,0,0,0,0,0,1,0,3,0,1,.294871794871795,5.83883115791981
Norway,2,1,5,5,7,6,6,7,5,7,5,5,4,5,4,7,7,7,6,6,6,6,6,6,6,6,6,6,6,2,0,1,0,0,0,0,0,0,1,3,1,0,.294871794871795,5.83883115791981
Sweden,3,2,4,5,7,6,6,6,5,7,5,4,4,4,3,7,7,7,5,5,5,6,7,7,7,7,6,6,6,3,0,0,1,0,0,0,0,1,0,3,0,1,.294871794871795,5.83883115791981
Poland,3,2,5,5,7,6,6,6,5,7,6,5,4,4,3,6,7,7,5,5,5,5,6,6,6,7,6,7,7,3,0,0,1,0,0,0,0,0,1,3,0,1,.294871794871795,5.83883115791981
Norway,2,1,5,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,5,4,6,6,6,6,7,7,7,7,2,0,1,0,0,0,0,0,0,1,2,1,0,.720512820512821,6.90397859816284
Estonia,2,1,5,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,3,5,4,5,5,7,7,7,7,2,0,1,0,0,0,0,0,0,1,2,1,0,.720512820512821,6.90397859816284
Sweden,4,2,4,5,6,7,6,7,5,6,6,5,5,6,6,7,6,6,5,5,6,6,5,6,6,6,6,6,6,4,0,0,0,1,0,0,0,1,0,3,0,1,.294871794871795,5.83883115791981
Norway,2,2,2,4,7,7,7,7,6,7,6,6,6,6,6,7,7,6,6,6,6,5,6,6,6,6,6,7,7,2,0,1,0,0,0,1,0,0,0,2,0,1,.720512820512821,6.90397859816284
Norway,4,1,5,4,7,7,7,7,5,7,5,5,5,5,6,6,7,7,5,5,5,5,6,6,6,6,6,7,7,4,0,0,0,1,0,0,0,0,1,2,1,0,.720512820512821,6.90397859816284
Norway,2,1,4,5,7,6,6,6,6,7,6,6,5,5,6,7,7,7,5,5,6,6,7,7,7,6,6,7,7,2,0,1,0,0,0,0,0,1,0,3,1,0,.294871794871795,5.83883115791981
Norway,2,1,4,5,6,7,7,7,5,7,5,5,5,5,4,5,5,5,5,5,6,6,5,6,6,6,6,7,7,2,0,1,0,0,0,0,0,1,0,3,1,0,.720512820512821,6.90397859816284
Norway,2,1,5,5,7,7,7,7,6,7,5,5,5,5,5,7,7,7,5,5,5,5,6,6,6,6,6,7,7,2,0,1,0,0,0,0,0,0,1,3,1,0,.720512820512821,6.90397859816284
Poland,3,2,5,4,7,6,6,7,5,6,6,6,5,5,5,7,6,6,3,4,3,3,6,6,6,6,6,7,7,3,0,0,1,0,0,0,0,0,1,2,0,1,.294871794871795,5.83883115791981
Poland,3,1,5,5,7,7,6,7,6,7,6,6,5,6,6,7,7,7,4,4,5,5,6,7,7,7,7,7,7,3,0,0,1,0,0,0,0,0,1,3,1,0,.294871794871795,5.83883115791981
Pakistan,2,2,5,5,7,7,7,7,5,6,5,5,5,5,6,7,7,7,3,3,4,3,6,7,7,7,6,7,7,2,0,1,0,0,0,0,0,0,1,3,0,1,.720512820512821,6.90397859816284
Nepal,3,1,2,4,7,7,6,7,5,6,5,5,5,5,6,7,7,7,5,5,5,5,6,7,6,6,6,7,7,3,0,0,1,0,0,1,0,0,0,2,1,0,.294871794871795,5.83883115791981
Norway,2,1,5,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,3,5,4,5,5,7,7,7,7,2,0,1,0,0,0,0,0,0,1,2,1,0,.720512820512821,6.90397859816284
Norway,2,2,5,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,3,5,4,5,5,7,7,7,7,2,0,1,0,0,0,0,0,0,1,2,0,1,.720512820512821,6.90397859816284
Norway,3,2,1,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,4,4,7,7,7,7,3,0,0,1,0,1,0,0,0,0,2,0,1,.720512820512821,6.90397859816284
Norway,3,1,4,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,4,4,4,7,7,7,7,3,0,0,1,0,0,0,0,1,0,2,1,0,.720512820512821,6.90397859816284
Norway,3,1,2,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,4,4,4,7,7,7,7,3,0,0,1,0,0,1,0,0,0,2,1,0,.720512820512821,6.90397859816284
Norway,3,2,2,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,3,4,4,3,4,4,7,7,7,7,3,0,0,1,0,0,1,0,0,0,2,0,1,.720512820512821,6.90397859816284
Norway,3,1,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,4,3,3,4,7,7,7,7,3,0,0,1,0,0,0,0,0,1,3,1,0,.720512820512821,6.90397859816284
Norway,3,1,3,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,5,5,5,5,4,7,7,7,7,3,0,0,1,0,0,0,1,0,0,3,1,0,.720512820512821,6.90397859816284
Norway,1,1,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,5,5,5,5,4,7,7,7,7,1,1,0,0,0,0,0,0,0,1,3,1,0,.720512820512821,6.90397859816284
Norway,4,1,2,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,4,4,4,4,7,7,7,7,4,0,0,0,1,0,1,0,0,0,3,1,0,.720512820512821,6.90397859816284
Poland,1,1,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,4,4,4,4,7,7,7,7,1,1,0,0,0,0,0,0,0,1,3,1,0,.720512820512821,6.90397859816284
Norway,3,2,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,6,6,6,7,7,7,7,3,0,0,1,0,0,0,0,1,0,3,0,1,.720512820512821,6.90397859816284
Norway,3,1,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,6,6,6,7,7,7,7,3,0,0,1,0,0,0,0,0,1,3,1,0,.720512820512821,6.90397859816284
Norway,3,1,3,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,3,5,5,5,5,7,7,7,7,3,0,0,1,0,0,0,1,0,0,2,1,0,.720512820512821,6.90397859816284
Norway,2,2,3,5,7,7,7,7,5,6,5,5,4,4,5,7,7,7,3,3,4,5,6,7,6,6,6,6,6,2,0,1,0,0,0,0,1,0,0,3,0,1,.720512820512821,6.90397859816284
Norway,4,2,5,4,7,7,6,7,5,7,5,5,5,5,5,7,6,6,5,5,5,5,6,7,6,6,6,6,7,4,0,0,0,1,0,0,0,0,1,2,0,1,.294871794871795,5.83883115791981
Norway,3,1,4,3,6,6,6,7,5,6,5,6,5,4,5,7,7,7,4,4,4,5,6,6,6,6,6,6,6,3,0,0,1,0,0,0,0,1,0,2,1,0,.294871794871795,5.83883115791981
Norway,2,1,4,4,7,6,6,6,5,7,5,5,5,5,5,7,7,7,7,3,3,4,5,6,6,6,6,6,6,2,0,1,0,0,0,0,0,1,0,2,1,0,.294871794871795,5.83883115791981
Poland,1,2,5,5,7,7,6,7,5,6,5,5,5,5,5,7,7,7,7,3,3,4,6,7,6,6,6,7,7,1,1,0,0,0,0,0,0,0,1,3,0,1,.294871794871795,5.83883115791981
Poland,2,1,5,5,7,7,6,7,6,7,6,6,4,5,5,7,7,7,3,3,3,4,6,7,6,6,6,6,6,2,0,1,0,0,0,0,0,0,1,3,1,0,.294871794871795,5.83883115791981
Norway,3,1,3,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,3,5,5,5,5,7,7,7,7,3,0,0,1,0,0,0,1,0,0,2,1,0,.720512820512821,6.90397859816284
Ukraine,2,2,5,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,3,5,5,5,5,7,7,7,7,2,0,1,0,0,0,0,0,0,1,2,0,1,.720512820512821,6.90397859816284
Norway,2,2,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,5,5,4,4,4,7,7,7,7,2,0,1,0,0,0,0,0,1,0,2,0,1,.720512820512821,6.90397859816284
Sweden,2,1,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,4,4,3,3,4,7,7,7,7,2,0,1,0,0,0,0,0,0,1,3,1,0,.720512820512821,6.90397859816284
Norway,3,1,2,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,4,4,4,4,7,7,7,7,3,0,0,1,0,0,1,0,0,0,3,1,0,.720512820512821,6.90397859816284
Pakistan,2,1,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,5,4,5,4,4,4,7,7,7,7,2,0,1,0,0,0,0,0,0,1,3,1,0,.720512820512821,6.90397859816284
Norway,2,1,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,5,4,5,5,7,7,7,7,2,0,1,0,0,0,0,0,1,0,3,1,0,.720512820512821,6.90397859816284
Norway,4,1,3,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,5,4,5,5,7,7,7,7,4,0,0,0,1,0,0,1,0,0,3,1,0,.720512820512821,6.90397859816284
Latvia,3,2,5,5,7,7,6,7,5,6,5,5,4,4,5,7,7,7,3,3,3,4,6,6,6,6,6,6,6,3,0,0,1,0,0,0,0,0,1,3,0,1,.294871794871795,5.83883115791981
Latvia,1,1,5,4,7,7,6,7,6,6,5,5,5,5,5,7,7,7,4,4,4,4,6,7,7,6,6,7,7,1,1,0,0,0,0,0,0,0,1,2,1,0,.294871794871795,5.83883115791981
Norway,2,1,4,5,7,6,6,7,5,5,5,5,4,5,4,7,7,7,4,4,4,5,6,6,6,6,6,7,7,2,0,1,0,0,0,0,0,1,0,3,1,0,.294871794871795,5.83883115791981
Norway,3,1,3,5,7,7,7,7,6,7,6,5,5,5,5,7,7,7,7,5,5,5,6,7,7,6,6,7,7,3,0,0,1,0,0,0,1,0,0,3,1,0,.720512820512821,6.90397859816284
Norway,1,2,5,5,7,7,6,7,6,7,6,6,5,6,5,7,7,7,5,5,5,5,7,7,7,7,6,7,7,1,1,0,0,0,0,0,0,0,1,3,0,1,.294871794871795,5.83883115791981
Poland,2,1,5,4,7,7,6,6,5,5,5,5,4,4,3,7,6,6,4,3,4,4,6,7,7,6,7,7,7,2,0,1,0,0,0,0,0,0,1,2,1,0,.294871794871795,5.83883115791981
Norway,1,2,5,3,6,6,6,7,5,6,5,5,5,6,6,7,7,7,4,4,4,5,6,7,7,7,6,7,7,1,1,0,0,0,0,0,0,0,1,2,0,1,.294871794871795,5.83883115791981
Norway,5,2,2,5,7,7,7,7,5,7,5,6,5,5,6,7,7,7,4,4,5,5,7,7,7,7,6,7,7,4,0,0,0,1,0,1,0,0,0,3,0,1,.720512820512821,6.90397859816284
Norway,4,1,5,4,7,6,7,7,5,5,6,6,5,5,5,7,6,5,3,4,4,4,5,6,6,6,5,7,6,4,0,0,0,1,0,0,0,0,1,2,1,0,.720512820512821,6.90397859816284
Nepal,3,2,4,3,6,6,6,6,7,5,5,5,5,5,5,6,6,6,7,4,5,4,4,6,6,6,6,6,6,3,0,0,1,0,0,0,0,1,0,2,0,1,.294871794871795,5.83883115791981
Pakistan,3,1,2,5,7,7,7,7,6,7,6,5,5,6,6,7,7,7,5,5,6,6,5,6,6,6,5,6,6,3,0,0,1,0,0,1,0,0,0,3,1,0,.720512820512821,6.90397859816284
Afghanistan,2,2,5,5,7,7,7,7,6,7,6,6,5,5,5,7,7,7,3,3,3,4,6,7,7,6,6,7,7,2,0,1,0,0,0,0,0,0,1,3,0,1,.720512820512821,6.90397859816284
Afghanistan,2,1,4,5,7,7,6,7,5,5,5,5,5,5,5,7,7,7,4,3,3,4,6,6,6,6,6,6,6,2,0,1,0,0,0,0,0,1,0,3,1,0,.294871794871795,5.83883115791981
Poland,1,1,3,5,7,7,7,7,6,7,6,6,5,5,5,7,7,7,5,5,5,5,6,7,7,7,7,7,7,1,1,0,0,0,0,0,1,0,0,3,1,0,.720512820512821,6.90397859816284
Poland,2,2,5,5,7,7,7,7,5,6,6,5,4,4,4,7,7,7,5,5,5,4,6,6,6,6,6,6,6,2,0,1,0,0,0,0,0,0,1,3,0,1,.720512820512821,6.90397859816284
Norway,3,1,2,4,7,7,7,7,6,7,6,6,5,5,5,7,7,7,3,3,3,3,6,7,7,7,7,7,7,3,0,0,1,0,0,1,0,0,0,2,1,0,.720512820512821,6.90397859816284
Norway,4,2,3,3,7,7,6,7,5,7,4,5,3,4,5,7,7,7,5,5,5,5,7,7,7,7,6,6,6,4,0,0,0,1,0,0,1,0,0,2,0,1,.294871794871795,5.83883115791981
Nepal,1,2,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,4,5,5,5,7,7,7,7,1,1,0,0,0,0,0,0,0,1,3,0,1,.720512820512821,6.90397859816284
Norway,3,2,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,4,4,4,4,4,7,7,7,7,3,0,0,1,0,0,0,0,0,1,3,0,1,.720512820512821,6.90397859816284
Norway,4,2,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,3,4,4,4,4,7,7,7,7,4,0,0,0,1,0,0,0,1,0,3,0,1,.720512820512821,6.90397859816284
Poland,2,2,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,4,4,5,5,7,7,7,7,2,0,1,0,0,0,0,0,0,1,3,0,1,.720512820512821,6.90397859816284
USA,2,1,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,4,4,5,5,7,7,7,7,2,0,1,0,0,0,0,0,1,0,3,1,0,.720512820512821,6.90397859816284
Norway,2,1,2,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,4,4,4,4,7,7,7,7,2,0,1,0,0,0,1,0,0,0,3,1,0,.720512820512821,6.90397859816284
Norway,4,1,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,4,4,4,4,7,7,7,7,4,0,0,0,1,0,0,0,1,0,3,1,0,.720512820512821,6.90397859816284
Poland,2,2,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,4,5,4,4,4,7,7,7,7,2,0,1,0,0,0,0,0,0,1,3,0,1,.720512820512821,6.90397859816284
Norway,2,1,4,3,7,6,7,7,6,6,5,5,4,4,4,7,7,7,5,5,5,5,6,6,6,6,5,6,6,2,0,1,0,0,0,0,0,1,0,2,1,0,.720512820512821,6.90397859816284
Norway,2,1,1,3,7,7,7,7,6,7,6,6,5,5,5,7,7,7,3,3,3,3,6,7,7,7,6,7,7,2,0,1,0,0,1,0,0,0,0,2,1,0,.720512820512821,6.90397859816284
Ghana,4,2,5,2,5,5,6,6,4,7,6,5,5,5,5,5,6,7,5,5,5,5,6,6,6,7,7,7,7,4,0,0,0,1,0,0,0,0,1,1,0,1,.294871794871795,5.83883115791981
Norway,3,1,4,5,7,6,7,7,6,7,6,6,5,5,6,7,7,7,3,3,4,4,6,7,7,7,7,7,7,3,0,0,1,0,0,0,0,1,0,3,1,0,.720512820512821,6.90397859816284
India,2,2,4,4,7,7,7,7,6,6,5,5,4,4,4,7,6,6,5,5,5,5,6,6,6,6,5,6,6,2,0,1,0,0,0,0,0,1,0,2,0,1,.720512820512821,6.90397859816284
Norway,4,1,2,4,6,7,7,7,6,7,5,5,4,4,5,7,7,7,5,5,5,5,6,6,6,6,6,6,6,4,0,0,0,1,0,1,0,0,0,2,1,0,.720512820512821,6.90397859816284
Norway,1,1,5,5,7,7,7,7,6,7,6,6,6,6,5,5,6,7,7,5,5,5,6,7,7,6,6,7,7,1,1,0,0,0,0,0,0,0,1,3,1,0,.720512820512821,6.90397859816284
Norway,3,2,3,1,6,6,7,6,5,6,7,7,6,4,5,5,6,5,4,4,4,5,6,7,6,5,6,7,6,3,0,0,1,0,0,0,1,0,0,1,0,1,.720512820512821,6.90397859816284
Norway,4,1,2,3,5,6,6,5,5,6,6,7,6,7,5,5,6,6,7,7,6,6,5,5,5,6,6,6,6,4,0,0,0,1,0,1,0,0,0,2,1,0,.294871794871795,5.83883115791981
Norway,4,2,4,4,7,7,7,7,5,6,5,5,4,4,5,7,7,7,3,3,4,4,6,7,7,7,6,6,6,4,0,0,0,1,0,0,0,1,0,2,0,1,.720512820512821,6.90397859816284
Poland,3,1,2,4,7,6,6,7,6,6,6,6,5,5,5,7,7,7,3,3,3,4,6,7,7,7,7,7,7,3,0,0,1,0,0,1,0,0,0,2,1,0,.294871794871795,5.83883115791981
Norway,4,1,4,5,6,6,6,6,5,7,5,5,3,3,4,6,6,6,6,5,5,6,6,6,6,5,5,6,6,4,0,0,0,1,0,0,0,1,0,3,1,0,.294871794871795,5.83883115791981
Ghana,1,2,5,4,7,4,2,4,2,4,6,2,6,2,6,6,3,4,5,2,7,1,2,7,5,2,3,4,4,1,1,0,0,0,0,0,0,0,1,2,0,1,.0102564102564103,4.15364213969056
India,1,2,4,4,6,6,6,7,5,6,5,5,5,5,5,7,7,7,3,3,4,4,6,6,6,7,6,7,7,1,1,0,0,0,0,0,0,1,0,2,0,1,.294871794871795,5.83883115791981
Norway,3,1,3,4,6,7,7,7,4,6,5,5,4,4,4,7,7,7,5,5,4,5,6,6,6,6,5,6,6,3,0,0,1,0,0,0,1,0,0,2,1,0,.720512820512821,6.90397859816284
Norway,1,1,3,5,7,7,7,7,6,7,6,6,5,5,4,6,7,7,3,3,3,3,3,3,3,6,6,7,7,1,1,0,0,0,0,0,1,0,0,3,1,0,.720512820512821,6.90397859816284
Norway,3,2,2,5,7,7,6,6,5,7,5,5,5,5,4,7,7,7,4,4,4,4,6,7,7,7,6,7,7,3,0,0,1,0,0,1,0,0,0,3,0,1,.294871794871795,5.83883115791981
